"famid","income","fameduc"
5012,7,7
5014,4,.
5030,7,6.5
5031,7,14
5041,8,10.5
5045,6,10
5054,7,9
5057,3,.
5058,4,.
5065,3,.
5080,4,11
5083,7,12.5
5087,16,.
5092,.,5
5103,4,.
5108,2,.
5110,12,.
5114,7,12.5
5123,4,11.5
5131,2,6.25
5138,2,.
5140,4,10.5
5145,7,11
5146,7,6
5151,5,6
5152,3,.
5156,3,12.5
5161,4,5.5
5163,1,4
5167,8,11
5168,10,7.5
5172,15,12.5
5174,11,9
5176,4,9
5177,3,10
5181,6,9
5185,14,.
5190,4,9
5194,4,11
5195,7,11.5
5196,8,11
5208,6,16
5212,11,.
5222,3,.
5233,9,11
5235,1,.
5242,6,11
5244,2,.
5246,8,11
5247,4,5.5
5250,5,6
5259,9,6
5260,10,10
5261,8,.
5265,2,.
5266,8,11
5268,4,12
5269,.,.
5276,2,10.75
5278,5,.
5282,6,.
5283,6,11.5
5284,5,5
5286,9,12
5287,10,9.5
5305,13,11
5308,2,9
5311,.,13.75
5324,4,8
5325,4,6
5327,8,.
5333,7,9.5
5343,2,0.5
5347,7,.
5351,2,12
5354,13,9.5
5355,3,.
5357,11,8
5366,12,3.5
5385,16,15
5395,4,5.5
5396,.,7
5403,8,5
5404,5,8
5405,4,12
5406,3,.
5407,.,.
5411,8,.
5413,6,10.5
5414,6,.
5420,9,12
5424,9,6
5429,7,11.5
5439,9,6
5451,3,.
5461,4,9
5462,5,9
5467,6,10.5
5471,4,12
5485,19,11
5488,10,10
5492,8,7.5
5501,6,9
5515,2,6
5517,4,8.5
5519,5,7
5532,5,11
5537,6,15
5540,.,8
5545,7,.
5555,10,7.5
5560,7,16
5561,8,6
5582,15,13
5584,12,12
5585,2,.
5589,2,12
5596,2,11.5
5606,9,8
5607,10,7.5
5612,2,7.5
5613,9,.
5618,5,12
5619,8,4.5
5620,.,.
5624,9,11
5635,8,11
5642,4,.
5643,6,.
5652,7,10
5653,9,11.75
5654,9,11
5656,13,12
5660,10,10.5
5661,8,6.5
5663,9,11.5
5664,7,.
5668,3,6
5676,8,9.5
5684,9,9
5689,7,12
5690,13,12
5692,6,6
5694,2,.
5706,11,6
5711,2,12
5713,2,.
5716,8,11
5718,5,8.5
5722,14,16
5726,7,.
5727,10,.
5728,4,12
5731,12,13
5733,20,14
5747,4,8
5749,7,9
5750,11,12
5769,3,4.5
5777,10,.
5778,5,4.5
5779,5,9.5
5784,12,10.25
5791,8,6
5797,2,11
5799,11,6.5
5805,6,10.25
5806,1,12
5807,3,4.5
5809,4,11
5811,7,5.5
5813,9,6
5827,14,11.5
5833,14,12
5837,9,.
5840,20,13
5856,13,12
5858,6,.
5868,7,7.5
5874,10,12
5875,10,4
5876,3,12.5
5884,4,.
5888,6,13
5890,6,6.5
5892,7,9
5895,3,.
5896,11,7.5
5902,10,11
5904,13,16
5907,7,7
5915,4,11
5916,4,10.5
5917,6,9
5930,7,4
5964,8,7
5968,2,6
5983,20,13.5
5989,16,.
5994,8,12.5
5998,7,10
6002,3,.
6007,.,.
6012,13,11
6016,4,.
6019,20,15.5
6022,2,11.75
6024,.,.
6031,5,5.5
6033,6,10
6039,4,10.25
6062,12,14.5
6066,12,.
6075,4,.
6090,20,19
6098,4,.
6100,20,16
6111,20,13.5
6117,3,4
6119,9,11
6122,5,11
6128,4,.
6131,9,7.5
6134,.,.
6140,2,.
6146,8,8
6155,8,11.75
6159,6,11.5
6167,5,15
6168,9,7.5
6169,1,5.5
6182,1,12.5
6186,3,13
6188,10,12
6193,2,.
6224,6,.
6225,10,11.5
6229,10,12.5
6230,9,10.25
6233,5,9
6237,6,4
6240,10,2
6242,5,9.5
6243,6,12
6247,20,9.5
6257,6,9
6258,12,10
6262,6,10.5
6264,10,11
6266,1,9.5
6275,6,15
6280,7,5
6281,12,9
6282,10,13.5
6283,7,10.5
6284,7,.
6285,6,6
6292,.,7.5
6293,10,14.5
6307,3,8.5
6310,6,.
6311,2,.
6313,3,6
6317,8,5.5
6324,7,.
6326,5,11.5
6330,.,.
6331,6,9
6333,9,9
6335,3,.
6337,7,.
6341,7,3
6353,16,8.75
6363,5,5.5
6364,5,4
6366,5,4.5
6377,6,3
6382,6,7.5
6383,2,.
6387,1,.
6391,16,12
6397,7,10.5
6399,9,11
6400,10,6
6415,7,.
6417,8,15
6429,6,12
6431,13,16
6435,7,6.5
6441,7,8.5
6442,2,12
6445,5,10
6449,4,6
6450,8,9
